Y,D,X,date,ID,observed,D_simulated
FALSE,3,1,2019-03-20,0,2019-05-06,4
FALSE,3,1,2019-03-20,1,2019-05-06,3
FALSE,4,9,2019-02-24,3,2019-04-07,3
FALSE,2,2,2019-03-05,5,2019-04-18,1
FALSE,4,9,2019-03-06,6,2019-04-19,3
FALSE,3,9,2019-02-25,7,2019-04-10,1
FALSE,4,2,2019-02-26,9,2019-04-11,2
FALSE,2,10,2019-02-24,10,2019-04-09,4
FALSE,4,15,2019-02-24,11,2019-04-09,4
FALSE,4,10,2019-02-24,14,2019-04-09,1
TRUE,2,11,2019-03-05,15,2019-04-18,4
FALSE,2,5,2019-03-05,16,2019-04-18,1
FALSE,3,13,2019-03-03,17,2019-04-16,2
FALSE,4,10,2019-03-04,18,2019-04-17,2
FALSE,2,10,2019-02-26,19,2019-04-11,2
FALSE,2,9,2019-02-25,20,2019-04-10,2
FALSE,2,10,2019-03-04,21,2019-04-17,1
FALSE,4,5,2019-03-10,22,2019-05-05,4
FALSE,2,1,2019-03-10,23,2019-05-05,1
FALSE,2,2,2019-03-06,24,2019-04-19,2
FALSE,1,1,2019-03-10,25,2019-05-05,4
FALSE,3,9,2019-03-10,26,2019-05-05,2
FALSE,3,7,2019-03-10,28,2019-05-05,1
FALSE,4,5,2019-03-10,31,2019-05-05,4
FALSE,2,13,2019-02-26,32,2019-04-11,1
FALSE,2,10,2019-03-10,33,2019-05-05,3
FALSE,3,2,2019-03-10,34,2019-05-05,1
FALSE,4,9,2019-03-05,36,2019-04-18,1
FALSE,2,2,2019-02-11,37,2019-04-07,1
FALSE,4,6,2019-03-12,38,2019-05-05,1
FALSE,4,10,2019-02-11,39,2019-04-07,4
FALSE,1,1,2019-03-12,41,2019-05-05,2
FALSE,2,6,2019-03-13,50,2019-05-05,4
FALSE,3,10,2019-02-13,52,2019-04-07,3
FALSE,3,1,2019-02-10,53,2019-04-07,1
FALSE,1,6,2019-03-13,54,2019-05-05,4
FALSE,3,3,2019-03-10,56,2019-05-05,4
TRUE,1,12,2019-02-10,62,2019-04-07,1
FALSE,2,9,2019-03-04,63,2019-04-17,4
FALSE,1,4,2019-03-17,65,2019-05-05,1
FALSE,2,13,2019-03-17,66,2019-05-05,1
FALSE,2,5,2019-02-10,67,2019-04-07,2
FALSE,2,2,2019-03-11,68,2019-05-05,1
FALSE,1,5,2019-03-13,69,2019-05-05,4
FALSE,3,1,2019-03-17,70,2019-05-05,3
FALSE,3,10,2019-03-17,71,2019-05-05,1
FALSE,3,2,2019-03-18,77,2019-05-05,2
FALSE,4,2,2019-03-18,78,2019-05-05,1
FALSE,4,16,2019-02-11,79,2019-04-07,3
FALSE,2,5,2019-03-17,80,2019-05-05,4
FALSE,1,2,2019-02-11,81,2019-04-07,2
FALSE,1,10,2019-03-18,82,2019-05-07,2
FALSE,1,2,2019-03-19,84,2019-05-05,3
FALSE,1,1,2019-02-25,86,2019-04-10,4
FALSE,1,13,2019-03-20,90,2019-05-07,4
FALSE,1,2,2019-02-27,91,2019-04-12,3
FALSE,1,12,2019-02-25,92,2019-04-10,1
FALSE,1,2,2019-03-04,93,2019-04-17,3
FALSE,3,1,2019-03-20,94,2019-05-06,2
FALSE,1,5,2019-03-05,95,2019-04-18,4
FALSE,1,1,2019-03-05,97,2019-04-18,3
FALSE,3,10,2019-02-13,100,2019-04-07,2
FALSE,4,1,2019-03-20,102,2019-05-06,3
FALSE,1,2,2019-02-26,103,2019-04-11,1
FALSE,4,5,2019-02-17,109,2019-04-07,4
FALSE,3,6,2019-03-12,111,2019-05-05,3
FALSE,2,6,2019-03-12,114,2019-05-05,4
FALSE,2,13,2019-03-11,115,2019-05-05,4
FALSE,2,13,2019-03-03,117,2019-04-16,1
FALSE,4,2,2019-02-25,118,2019-04-12,1
FALSE,4,5,2019-03-10,119,2019-05-05,2
FALSE,3,2,2019-03-06,120,2019-04-19,3
FALSE,4,2,2019-02-25,121,2019-04-10,3
FALSE,1,6,2019-02-19,122,2019-04-07,2
FALSE,2,2,2019-02-26,123,2019-04-11,1
FALSE,2,13,2019-03-03,124,2019-04-16,4
FALSE,2,1,2019-03-04,125,2019-04-17,1
FALSE,2,13,2019-03-04,126,2019-04-17,1
TRUE,4,2,2019-03-10,127,2019-05-05,3
FALSE,3,1,2019-03-10,128,2019-05-05,2
FALSE,4,2,2019-03-06,129,2019-05-05,1
TRUE,4,9,2019-03-04,130,2019-04-17,2
FALSE,3,2,2019-03-06,131,2019-04-19,4
FALSE,2,6,2019-02-24,132,2019-04-09,2
FALSE,2,10,2019-02-26,133,2019-04-11,4
TRUE,3,2,2019-03-05,134,2019-04-18,2
FALSE,2,10,2019-03-06,135,2019-04-19,3
FALSE,3,10,2019-03-05,136,2019-04-18,4
FALSE,2,10,2019-02-27,137,2019-04-12,2
FALSE,4,9,2019-03-04,138,2019-04-17,2
FALSE,2,14,2019-03-06,139,2019-05-05,2
FALSE,3,13,2019-03-04,140,2019-04-17,4
FALSE,4,1,2019-03-06,141,2019-04-19,2
FALSE,4,10,2019-02-27,142,2019-04-12,3
TRUE,4,16,2019-03-03,143,2019-04-16,4
FALSE,2,14,2019-02-24,144,2019-04-09,1
FALSE,2,4,2019-03-06,146,2019-04-19,2
FALSE,4,5,2019-03-05,147,2019-04-18,2
FALSE,3,2,2019-03-11,149,2019-05-05,1
FALSE,2,12,2019-03-13,150,2019-05-05,2
FALSE,4,6,2019-03-11,151,2019-05-05,2
FALSE,1,2,2019-03-11,154,2019-05-05,2
FALSE,3,9,2019-03-13,155,2019-05-05,1
FALSE,4,10,2019-03-13,156,2019-05-05,3
FALSE,4,6,2019-03-11,157,2019-05-05,4
FALSE,1,2,2019-03-11,158,2019-05-05,3
FALSE,1,6,2019-03-11,159,2019-05-05,3
TRUE,4,4,2019-02-12,160,2019-04-07,3
FALSE,1,6,2019-03-03,161,2019-05-05,3
FALSE,1,2,2019-02-27,162,2019-04-12,2
FALSE,2,13,2019-03-18,163,2019-05-05,1
FALSE,3,2,2019-02-13,165,2019-04-07,2
FALSE,4,6,2019-03-19,168,2019-05-05,2
FALSE,1,6,2019-03-18,169,2019-05-06,1
FALSE,3,10,2019-03-10,170,2019-05-05,2
FALSE,1,4,2019-02-27,172,2019-04-12,2
